,player_id,Player,player_display_name,position,position_group,headshot_url,Team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,opponent_team,weekday_x,away_team_x,home_team_x,team_year,player_year,opp_year,completions_avg,attempts_avg,passing_yards_avg,passing_tds_avg,interceptions_avg,carries_avg,rushing_yards_avg,rushing_tds_avg,receptions_avg,targets_avg,receiving_yards_avg,receiving_tds_avg,receiving_air_yards_avg,sack_fumbles_lost_avg,rushing_fumbles_lost_avg,receiving_fumbles_lost_avg,passing_epa_avg,rushing_epa_avg,receiving_epa_avg,fantasy_points_ppr_avg,completions_std,attempts_std,passing_yards_std,passing_tds_std,interceptions_std,carries_std,rushing_yards_std,rushing_tds_std,receptions_std,targets_std,receiving_yards_std,receiving_tds_std,receiving_air_yards_std,sack_fumbles_lost_std,rushing_fumbles_lost_std,receiving_fumbles_lost_std,passing_epa_std,rushing_epa_std,receiving_epa_std,fantasy_points_ppr_std,completions_last,attempts_last,passing_yards_last,passing_tds_last,interceptions_last,carries_last,rushing_yards_last,rushing_tds_last,receptions_last,targets_last,receiving_yards_last,receiving_tds_last,receiving_air_yards_last,sack_fumbles_lost_last,rushing_fumbles_lost_last,receiving_fumbles_lost_last,passing_epa_last,rushing_epa_last,receiving_epa_last,fantasy_points_ppr_last,Opponent,completions_avg_opp,attempts_avg_opp,passing_yards_avg_opp,passing_tds_avg_opp,interceptions_avg_opp,carries_avg_opp,rushing_yards_avg_opp,rushing_tds_avg_opp,receptions_avg_opp,targets_avg_opp,receiving_yards_avg_opp,receiving_tds_avg_opp,receiving_air_yards_avg_opp,sack_fumbles_lost_avg_opp,rushing_fumbles_lost_avg_opp,receiving_fumbles_lost_avg_opp,passing_epa_avg_opp,rushing_epa_avg_opp,receiving_epa_avg_opp,fantasy_points_ppr_avg_opp,player_is_home,is_favorite,team_full_name,Unnamed: 0,game_id,game_type,gameday,weekday_y,gametime,away_team_y,away_score,home_team_y,home_score,location,result,total,overtime,old_game_id,gsis,nfl_detail_id,pfr,pff,espn,ftn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,away_qb_name,home_qb_name,away_coach,home_coach,referee,stadium_id,stadium,weekday,Away Team,Home Team,gb_pipe_preds,lin_reg_pipe_preds,ran_for_pipe_preds,Projected_PPR_Points,Lowest_Projected_Points,Highest_Projected_Points
0,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,3,REG,34,55,307.0,1,2.0,1.0,10.0,0,0,363.0,144.0,17.0,-5.089192867279053,0,0.8457300066947937,-0.0313311479985713,4,17.0,0,0.0,0.0,1.0,-0.4383297264575958,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,13.979999542236328,13.979999542236328,SF,Sunday,SF,LA,LA2023,M.Stafford2023,SF2023,19.0,33.0,166.0,0.25,1.0,1.25,2.0,0.33,0.5,0.75,-0.5,0.25,-1.75,1.0,0.25,1.0,-16.29,-0.45,-4.37,0.2,8.49,14.14,54.45,0.5,0.71,0.5,2.16,0.58,1.0,1.5,1.0,0.5,3.5,0.71,0.5,0.71,9.82,0.07,3.33,0.22,24,38,334.0,1,1.0,3,11.0,1,1,1,5.0,1,15.0,2,1.0,1.0,20.679981231689453,0.8680859208106995,-0.4681625068187713,14.460000038146973,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LOS ANGELES RAMS,6468.0,2023_03_LA_CIN,REG,2023-09-25 00:00:00+00:00,,20:15,,,,,Home,,,,2023092501.0,,,202309250cin,,401547441.0,,8.0,8.0,270.0,-340.0,7.5,-110.0,-110.0,47.0,-110.0,-110.0,0.0,outdoors,fieldturf,,,00-0026498,00-0036442,Matthew Stafford,Joe Burrow,Sean McVay,Zac Taylor,,CIN00,Paycor Stadium,Monday,LA,CIN,14.446506917014926,13.083857639698518,15.219663946048213,14.3,7.5,21.1
1,00-0028002,R.Cobb,Randall Cobb,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kuwo5hnkbtesfw6n9w1s",NYJ,2023,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,15.0,0.0,0.0,-1.5230662822723389,0,0.0,0.0399999991059303,0.0566037744283676,0.0996226444840431,0.0,0.0,0.0,DAL,Sunday,NYJ,DAL,NYJ2023,R.Cobb2023,DAL2023,19.0,33.0,166.0,0.25,1.0,5.0,-4.0,0.33,1.0,2.0,15.0,0.25,47.0,1.0,0.25,1.0,-16.29,-3.66,0.48,-0.4,8.49,14.14,54.45,0.5,0.71,2.12,7.07,0.58,0.58,0.5,6.36,0.5,18.38,0.71,0.5,0.71,9.82,2.07,3.33,0.71,28,1,266.0,2,1.0,1,1.0,1,2,1,20.0,1,10.0,1,1.0,1.0,-0.5173711180686951,-0.4612762928009033,-3.924131155014038,4.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,NEW YORK JETS,6461.0,2023_03_NE_NYJ,REG,2023-09-24 00:00:00+00:00,Sunday,13:00,NE,,NYJ,,Home,,,,2023092407.0,,,202309240nyj,,401547430.0,,7.0,7.0,-130.0,110.0,-2.0,-110.0,-110.0,38.5,-110.0,-110.0,1.0,outdoors,fieldturf,,,00-0036972,00-0037013,Mac Jones,Zach Wilson,Bill Belichick,Robert Saleh,,NYC01,MetLife Stadium,,,,6.398774906791352,7.803918644896603,5.270183433459411,6.5,0.0,13.3
2,00-0029263,R.Wilson,Russell Wilson,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gebzv2aljujgleboe4ns",DEN,2023,3,REG,18,32,308.0,3,1.0,7.0,31.0,1,1,300.0,110.0,8.0,3.3465051651000977,0,1.0266666412353516,0.1483383178710937,6,56.0,0,0.0,0.0,6.0,6.462871551513672,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,25.920000076293945,25.920000076293945,WAS,Sunday,WAS,DEN,DEN2023,R.Wilson2023,WAS2023,19.0,33.0,166.0,0.25,1.0,0.25,-1.25,0.33,1.0,2.0,10.5,0.25,34.0,1.0,0.25,1.0,-16.29,-1.53,-1.88,2.05,8.49,14.14,54.45,0.5,0.71,0.5,2.5,0.58,0.58,0.5,6.36,0.5,18.38,0.71,0.5,0.71,9.82,0.62,3.33,0.64,27,34,177.0,2,1.0,1,1.0,2,1,1,1.0,1,-1.0,1,1.0,1.0,2.3555383682250977,-0.603321373462677,-0.3846378922462463,15.18000030517578,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,DENVER BRONCOS,6459.0,2023_03_DEN_MIA,REG,2023-09-24 00:00:00+00:00,,13:00,,,,,Home,,,,2023092405.0,,,202309240mia,,401547429.0,,7.0,7.0,180.0,-218.0,5.5,-110.0,-110.0,44.5,-110.0,-110.0,0.0,outdoors,grass,,,00-0029263,00-0036212,Russell Wilson,Tua Tagovailoa,Sean Payton,Mike McDaniel,,MIA00,Hard Rock Stadium,Sunday,DEN,MIA,14.662501272341078,13.795948858266598,15.380717659115941,14.6,7.8,21.4
3,00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/viuxnyezrwdfjnxsfssb",MIN,2023,3,REG,31,44,364.0,4,0.0,2.0,18.0,1,1,404.0,150.0,19.0,17.48133659362793,0,0.9009901285171508,0.2279876619577407,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,28.559999465942383,28.559999465942383,PHI,Thursday,MIN,PHI,MIN2023,K.Cousins2023,PHI2023,19.0,33.0,166.0,0.25,1.0,0.25,-1.25,0.33,0.75,1.75,3.75,0.25,26.5,1.0,0.25,1.0,-16.29,-1.53,-2.1,1.0,8.49,14.14,54.45,0.5,0.71,0.5,2.5,0.58,0.5,0.5,2.63,0.5,31.12,0.71,0.5,0.71,9.82,0.62,1.63,0.73,33,44,344.0,2,1.0,3,7.0,1,1,1,-1.0,1,12.0,1,1.0,1.0,0.3236897885799408,-5.517632484436035,-1.8194127082824707,16.459999084472656,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,MINNESOTA VIKINGS,6460.0,2023_03_LAC_MIN,REG,2023-09-24 00:00:00+00:00,Sunday,13:00,LAC,,MIN,,Home,,,,2023092406.0,,,202309240min,,401547436.0,,7.0,10.0,-120.0,100.0,-1.5,-110.0,-110.0,49.5,-110.0,-110.0,0.0,dome,sportturf,,,00-0036355,00-0029604,Justin Herbert,Kirk Cousins,Brandon Staley,Kevin O'Connell,,MIN01,U.S. Bank Stadium,,,,14.713847912738325,14.556186743842222,15.537327552746829,14.9,8.1,21.7
4,00-0029701,R.Tannehill,Ryan Tannehill,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yvwju12dl6haf3r8uzrm",TEN,2023,3,REG,20,24,246.0,1,0.0,5.0,46.0,0,0,211.0,63.0,9.0,1.4567641019821167,0,1.1658767461776731,0.2246269583702087,1,12.0,1,0.0,0.0,1.0,1.7393412590026855,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,21.040000915527344,21.040000915527344,LAC,Sunday,LAC,TEN,TEN2023,R.Tannehill2023,LAC2023,19.0,33.0,166.0,0.25,1.0,0.25,5.25,0.33,2.0,2.0,12.0,0.25,10.0,1.0,0.25,1.0,-16.29,-0.06,1.13,3.2,8.49,14.14,54.45,0.5,0.71,0.5,10.5,0.58,0.58,0.71,26.16,0.5,6.36,0.71,0.5,0.71,9.82,0.62,0.65,2.62,16,34,198.0,2,3.0,3,5.0,1,1,1,91.0,1,52.0,1,1.0,1.0,-12.042962074279783,-1.8367608785629272,-1.4736891984939575,2.4200000762939453,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,TENNESSEE TITANS,6455.0,2023_03_TEN_CLE,REG,2023-09-24 00:00:00+00:00,,13:00,,,,,Home,,,,2023092401.0,,,202309240cle,,401547428.0,,7.0,6.0,180.0,-218.0,4.5,-110.0,-110.0,41.5,-110.0,-110.0,0.0,outdoors,grass,,,00-0029701,00-0033537,Ryan Tannehill,Deshaun Watson,Mike Vrabel,Kevin Stefanski,,CLE00,FirstEnergy Stadium,Sunday,TEN,CLE,14.929675454895778,13.718723418622599,15.052461508127026,14.6,7.8,21.4
5,00-0030035,A.Thielen,Adam Thielen,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kmldtl8p9h7h5dzvkwsw",CAR,2023,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,7,9,54.0,1,0.0,0.0,59.0,24.0,4.0,2.1747405529022217,1,0.9152542352676392,0.2903225719928741,0.2796208560466766,0.6312184929847717,0.0,13.399999618530272,20.399999618530277,NO,Monday,NO,CAR,CAR2023,A.Thielen2023,NO2023,19.0,33.0,166.0,0.25,1.0,0.25,5.25,0.33,1.67,2.0,22.33,0.25,9.0,1.0,0.25,1.0,-16.29,-0.06,1.23,3.9,8.49,14.14,54.45,0.5,0.71,0.5,10.5,0.58,0.58,1.0,23.29,0.5,10.54,0.71,0.5,0.71,9.82,0.62,0.78,2.72,2,1,18.0,2,3.0,1,4.0,1,2,2,12.0,1,9.0,1,1.0,1.0,-0.3691921532154083,-0.1335235238075256,0.757165253162384,3.200000047683716,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CAROLINA PANTHERS,6463.0,2023_03_CAR_SEA,REG,2023-09-24 00:00:00+00:00,,16:05,,,,,Home,,,,2023092409.0,,,202309240sea,,401547432.0,,6.0,7.0,154.0,-185.0,4.0,-110.0,-110.0,42.5,-110.0,-110.0,0.0,outdoors,fieldturf,,,00-0039150,00-0030565,Bryce Young,Geno Smith,Frank Reich,Pete Carroll,,SEA00,Lumen Field,Sunday,CAR,SEA,9.20541253815425,9.305531632477047,8.463048824527394,9.0,2.2,15.8
6,00-0030061,Z.Ertz,Zach Ertz,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t7my0kesdhb2iefvempm",ARI,2023,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,6,8,56.0,0,0.0,0.0,74.0,18.0,2.0,1.6545093059539795,0,0.7567567825317383,0.2758620679378509,0.3148936033248901,0.6342186331748962,0.0,5.599999904632568,11.600000381469728,NYG,Sunday,NYG,ARI,ARI2023,Z.Ertz2023,NYG2023,19.0,33.0,166.0,0.25,1.0,0.25,5.25,0.33,1.5,1.75,20.25,0.25,9.0,1.0,0.25,1.0,-16.29,-0.06,1.15,5.03,8.49,14.14,54.45,0.5,0.71,0.5,10.5,0.58,0.58,0.96,19.72,0.5,10.55,0.71,0.5,0.71,9.82,0.62,1.43,3.33,2,1,18.0,2,3.0,1,4.0,1,6,10,21.0,1,56.0,1,1.0,1.0,-0.3691921532154083,0.4552927315235138,-3.360602617263794,8.100000381469727,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ARIZONA CARDINALS,6464.0,2023_03_DAL_ARI,REG,2023-09-24 00:00:00+00:00,Sunday,16:25,DAL,,ARI,,Home,,,,2023092410.0,,,202309240crd,,401547437.0,,7.0,7.0,-500.0,380.0,-10.5,-110.0,-110.0,42.5,-110.0,-110.0,0.0,,grass,,,00-0033077,00-0033949,Dak Prescott,Joshua Dobbs,Mike McCarthy,Jonathan Gannon,,PHO00,State Farm Stadium,,,,11.623087932938228,10.714931905081002,11.071065232918931,11.1,4.3,17.9
7,00-0030068,M.Goodwin,Marquise Goodwin,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mq9ih2olutji2nufwbvj",CLE,2023,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,2,0.0,0,0.0,0.0,83.0,0.0,0.0,-1.306154727935791,0,0.0,0.050000000745058,0.2101265788078308,0.2220886051654815,0.0,0.0,0.0,PIT,Monday,CLE,PIT,CLE2023,M.Goodwin2023,PIT2023,19.0,33.0,166.0,0.25,1.0,0.25,5.25,0.33,1.0,1.75,9.75,0.25,8.0,1.0,0.25,1.0,-16.29,-0.06,-1.18,4.0,8.49,14.14,54.45,0.5,0.71,0.5,10.5,0.58,0.82,0.96,7.27,0.5,8.83,0.71,0.5,0.71,9.82,0.62,4.42,3.15,2,1,18.0,2,3.0,1,-2.0,1,2,2,10.0,1,86.0,1,1.0,1.0,-0.3691921532154083,-1.2140334844589231,-2.1259560585021973,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,CLEVELAND BROWNS,6455.0,2023_03_TEN_CLE,REG,2023-09-24 00:00:00+00:00,Sunday,13:00,TEN,,CLE,,Home,,,,2023092401.0,,,202309240cle,,401547428.0,,7.0,6.0,180.0,-218.0,4.5,-110.0,-110.0,41.5,-110.0,-110.0,0.0,outdoors,grass,,,00-0029701,00-0033537,Ryan Tannehill,Deshaun Watson,Mike Vrabel,Kevin Stefanski,,CLE00,FirstEnergy Stadium,,,,5.624183096813967,6.750929910984681,5.079388111345454,5.8,0.0,12.6
8,00-0030279,K.Allen,Keenan Allen,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xs7h2igf85nta81v7zb8",LAC,2023,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,8,10,111.0,2,0.0,0.0,107.0,21.0,5.0,11.187051773071287,0,1.037383198738098,0.2564102709293365,0.2635467946529388,0.5690981149673462,0.0,23.100000381469727,31.100000381469727,TEN,Sunday,LAC,TEN,LAC2023,K.Allen2023,TEN2023,19.0,33.0,166.0,0.25,1.0,0.5,4.5,0.33,2.0,4.0,19.0,0.25,57.0,1.0,0.25,1.0,-16.29,1.89,-4.45,3.9,8.49,14.14,54.45,0.5,0.71,0.71,6.36,0.58,0.5,0.5,0.71,0.5,2.83,0.71,0.5,0.71,9.82,3.45,0.06,0.07,2,1,18.0,2,3.0,2,6.0,1,6,9,76.0,2,105.0,1,1.0,1.0,-0.493455559015274,0.1539511829614639,3.661745548248291,14.199999809265137,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,LOS ANGELES CHARGERS,6460.0,2023_03_LAC_MIN,REG,2023-09-24 00:00:00+00:00,,13:00,,,,,Home,,,,2023092406.0,,,202309240min,,401547436.0,,7.0,10.0,-120.0,100.0,-1.5,-110.0,-110.0,49.5,-110.0,-110.0,0.0,dome,sportturf,,,00-0036355,00-0029604,Justin Herbert,Kirk Cousins,Brandon Staley,Kevin O'Connell,,MIN01,U.S. Bank Stadium,Sunday,LAC,MIN,14.01100160296148,12.321587699442212,15.315970760769128,13.9,7.1,20.7
9,00-0030431,R.Woods,Robert Woods,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ksw0cui3nmzzaxwnkstl",HOU,2023,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,6,9,74.0,0,0.0,0.0,98.0,17.0,4.0,6.2445454597473145,0,0.7551020383834839,0.2093023210763931,0.2367149740457534,0.4796539843082428,0.0,7.400000095367432,13.399999618530272,IND,Sunday,IND,HOU,HOU2023,R.Woods2023,IND2023,19.0,33.0,166.0,0.25,1.0,0.5,4.5,0.33,1.0,1.0,18.5,0.25,14.0,1.0,0.25,1.0,-16.29,1.89,1.17,2.85,8.49,14.14,54.45,0.5,0.71,0.71,6.36,0.58,0.5,0.5,0.71,0.5,2.83,0.71,0.5,0.71,9.82,3.45,0.06,0.07,2,3,29.0,2,3.0,3,22.0,1,6,10,57.0,1,75.0,1,1.0,1.0,-0.1018271222710609,1.8472200632095337,2.579465627670288,11.699999809265137,JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,HOUSTON TEXANS,6458.0,2023_03_HOU_JAX,REG,2023-09-24 00:00:00+00:00,,13:00,,,,,Home,,,,2023092404.0,,,202309240jax,,401547435.0,,7.0,7.0,240.0,-298.0,7.0,-110.0,-110.0,46.0,-110.0,-110.0,1.0,outdoors,grass,,,00-0039163,00-0036971,C.J. Stroud,Trevor Lawrence,DeMeco Ryans,Doug Pederson,,JAX00,TIAA Bank Stadium,Sunday,HOU,JAX,13.127346237624767,12.605363473579395,11.493051816469084,12.4,5.6,19.2
10,00-0030506,T.Kelce,Travis Kelce,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ryzr3vbragwe50vtj9af",KC,2023,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,9,26.0,1,0.0,0.0,53.0,14.0,1.0,-0.2570243775844574,0,0.4905660450458526,0.2249999940395355,0.1913357377052307,0.471435010433197,0.0,8.600000381469727,12.600000381469728,JAX,Sunday,KC,JAX,KC2023,T.Kelce2023,JAX2023,19.0,33.0,166.0,0.25,1.0,0.5,4.5,0.33,1.0,1.0,15.33,0.25,11.33,1.0,0.25,1.0,-16.29,1.89,1.05,2.53,8.49,14.14,54.45,0.5,0.71,0.71,6.36,0.58,0.5,0.5,5.51,0.5,5.03,0.71,0.5,0.71,9.82,3.45,0.2,0.55,1,1,2.0,1,1.0,1,4.0,1,7,8,78.0,1,51.0,1,1.0,1.0,0.7020455598831177,0.1505529880523681,7.656980991363525,20.799999237060547,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,KANSAS CITY CHIEFS,6465.0,2023_03_CHI_KC,REG,2023-09-24 00:00:00+00:00,Sunday,16:25,CHI,,KC,,Home,,,,2023092411.0,,,202309240kan,,401547438.0,,7.0,7.0,425.0,-575.0,11.5,-110.0,-110.0,48.5,-110.0,-110.0,0.0,outdoors,grass,,,00-0036945,00-0033873,Justin Fields,Patrick Mahomes,Matt Eberflus,Andy Reid,,KAN00,GEHA Field at Arrowhead Stadium,,,,13.95353335069566,13.24095983025645,15.348139549269069,14.2,7.4,21.0
11,00-0030513,L.Murray,Latavius Murray,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",BUF,2023,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,6,22.0,1,0.0,0.0,2.0,-0.3858050107955932,0,2,2,9.0,0,0.0,0.0,-2.0,11.0,1.0,-0.404731422662735,0,-4.5,0.0555555559694767,-0.0122699383646249,0.0747443735599517,0.0,9.100000381469728,11.100000381469728,LV,Sunday,LV,BUF,BUF2023,L.Murray2023,LV2023,19.0,33.0,166.0,0.25,1.0,0.5,4.5,0.33,1.0,1.25,9.5,0.25,6.5,1.0,0.25,1.0,-16.29,1.89,0.77,3.45,8.49,14.14,54.45,0.5,0.71,0.71,6.36,0.58,0.5,0.5,5.92,0.5,4.12,0.71,0.5,0.71,9.82,3.45,1.06,2.75,1,1,2.0,1,1.0,2,8.0,1,1,2,9.0,1,4.0,1,1.0,1.0,0.7020455598831177,-0.0306567903608083,2.017519950866699,2.700000047683716,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,BUFFALO BILLS,6462.0,2023_03_BUF_WAS,REG,2023-09-24 00:00:00+00:00,,13:00,,,,,Home,,,,2023092408.0,,,202309240was,,401547431.0,,7.0,7.0,-218.0,180.0,-5.5,-110.0,-110.0,44.5,-110.0,-110.0,0.0,outdoors,grass,,,00-0034857,00-0037077,Josh Allen,Sam Howell,Sean McDermott,Ron Rivera,,WAS00,FedExField,Sunday,BUF,WAS,6.017621530802512,6.492888965602429,5.123155702021952,5.9,0.0,12.7
12,00-0030564,D.Hopkins,DeAndre Hopkins,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kikfprn4t5ap1lju4a4k",TEN,2023,3,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,5,40.0,0,0.0,0.0,44.0,4.0,3.0,3.644114017486572,0,0.9090909361839294,0.2083333283662796,0.2085307985544204,0.4584715664386749,0.0,4.0,8.0,LAC,Sunday,LAC,TEN,TEN2023,D.Hopkins2023,LAC2023,19.0,33.0,166.0,0.25,1.0,0.5,4.5,0.33,1.0,1.5,8.5,0.25,5.25,1.0,0.25,1.0,-16.29,1.89,0.57,3.35,8.49,14.14,54.45,0.5,0.71,0.71,6.36,0.58,0.5,0.58,3.51,0.5,2.5,0.71,0.5,0.71,9.82,3.45,1.04,2.78,1,1,6.0,1,1.0,1,1.0,1,7,13,65.0,1,130.0,1,1.0,1.0,1.3033645153045654,0.9933590292930604,-4.983140468597412,13.5,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,TENNESSEE TITANS,6455.0,2023_03_TEN_CLE,REG,2023-09-24 00:00:00+00:00,,13:00,,,,,Home,,,,2023092401.0,,,202309240cle,,401547428.0,,7.0,6.0,180.0,-218.0,4.5,-110.0,-110.0,41.5,-110.0,-110.0,0.0,outdoors,grass,,,00-0029701,00-0033537,Ryan Tannehill,Deshaun Watson,Mike Vrabel,Kevin Stefanski,,CLE00,FirstEnergy Stadium,Sunday,TEN,CLE,14.702575546114662,14.675697749144224,15.10794394300498,14.8,8.0,21.6
13,00-0030565,G.Smith,Geno Smith,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bxp32udtvwnpu3rl2cht",SEA,2023,3,REG,32,41,328.0,2,0.0,1.0,17.0,0,0,259.0,118.0,18.0,14.869270324707031,0,1.2664092779159546,0.2325960099697113,3,20.0,0,0.0,0.0,0.0,-0.6876800656318665,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,23.1200008392334,23.1200008392334,DET,Sunday,SEA,DET,SEA2023,G.Smith2023,DET2023,19.0,33.0,166.0,0.25,1.0,0.5,4.5,0.33,0.5,1.25,5.75,1.0,4.25,1.0,0.25,1.0,-16.29,1.89,-0.07,1.07,8.49,14.14,54.45,0.5,0.71,0.71,6.36,0.58,0.58,0.5,6.65,0.58,2.87,0.71,0.5,0.71,9.82,3.45,0.77,1.24,16,26,112.0,1,2.0,1,6.0,1,7,13,65.0,1,130.0,1,1.0,1.0,-4.389090538024902,0.2509351372718811,-4.983140468597412,9.079999923706056,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,SEATTLE SEAHAWKS,6463.0,2023_03_CAR_SEA,REG,2023-09-24 00:00:00+00:00,Sunday,16:05,CAR,,SEA,,Home,,,,2023092409.0,,,202309240sea,,401547432.0,,6.0,7.0,154.0,-185.0,4.0,-110.0,-110.0,42.5,-110.0,-110.0,0.0,outdoors,fieldturf,,,00-0039150,00-0030565,Bryce Young,Geno Smith,Frank Reich,Pete Carroll,,SEA00,Lumen Field,,,,13.072320986984385,12.997901205581345,12.428447152370984,12.8,6.0,19.6
